symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland"
FDX,FedEx Corporation,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information S,"Fidelity National Information Services, Inc.",Financials,Transaction & Payment Processing Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio"
FSLR,"First Solar, Inc.","First Solar, Inc.",Information Technology,Semiconductors,"Tempe, Arizona"
FE,FirstEnergy Corp.,FirstEnergy Corp.,Utilities,Electric Utilities,"Akron, Ohio"
FI,"Fiserv, Inc.","Fiserv, Inc.",Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin"
F,Ford Motor Company,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
FTNT,"Fortinet, Inc.","Fortinet, Inc.",Information Technology,Systems Software,"Sunnyvale, California"
FTV,Fortive Corporation,Fortive Corporation,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington"
FOXA,Fox Corporation,Fox Corporation,Communication Services,Broadcasting,"New York City, New York"
FOX,Fox Corporation,Fox Corporation,Communication Services,Broadcasting,"New York City, New York"
BEN,"Franklin Resources, Inc.","Franklin Resources, Inc.",Financials,Asset Management & Custody Banks,"San Mateo, California"
FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona"
GRMN,Garmin Ltd.,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
IT,"Gartner, Inc.","Gartner, Inc.",Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
GE,GE Aerospace,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio"
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,Health Care,Health Care Equipment,"Chicago, Illinois"
GEV,GE Vernova Inc.,GE Vernova Inc.,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts"
GEN,Gen Digital Inc.,Gen Digital Inc.,Information Technology,Systems Software,"Tempe, Arizona"
GNRC,Generac Holdlings Inc.,Generac Holdings Inc.,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics Corporation,General Dynamics Corporation,Industrials,Aerospace & Defense,"Reston, Virginia"
GIS,"General Mills, Inc.","General Mills, Inc.",Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors Company,General Motors Company,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts Company,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia"
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",Health Care,Biotechnology,"Foster City, California"
GPN,Global Payments Inc.,Global Payments Inc.,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
GL,Globe Life Inc.,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas"
GDDY,GoDaddy Inc.,GoDaddy Inc.,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona"
GS,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York"
HAL,Halliburton Company,Halliburton Company,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
HIG,"The Hartford Insurance Group, I","The Hartford Insurance Group, Inc.",Financials,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,"Hasbro, Inc.","Hasbro, Inc.",Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc.",Health Care,Health Care Facilities,"Nashville, Tennessee"
DOC,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc.",Real Estate,Health Care REITs,"Denver, Colorado"
HSIC,"Henry Schein, Inc.","Henry Schein, Inc.",Health Care,Health Care Distributors,"Melville, New York"
HSY,The Hershey Company,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
HPE,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas"
HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
HOLX,"Hologic, Inc.","Hologic, Inc.",Health Care,Health Care Equipment,"Marlborough, Massachusetts"
HD,"Home Depot, Inc. (The)","The Home Depot, Inc.",Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell International Inc.,Honeywell International Inc.,Industrials,Industrial Conglomerates,"Charlotte, North Carolina"
HRL,Hormel Foods Corporation,Hormel Foods Corporation,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
HST,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
