Symbol,Short Name,Long Name,Type,Sector,Industry,Country
DNOW,DNOW Inc.,DNOW Inc.,share,Industrials,Trading Companies & Distributors,"Houston, Texas"
DOCN,"DigitalOcean Holdings, Inc.","DigitalOcean Holdings, Inc.",share,Information Technology,Internet Services & Infrastructure,"New York City, New York"
DORM,"Dorman Products, Inc.","Dorman Products, Inc.",share,Consumer Discretionary,Automotive Parts & Equipment,"Colmar, Pennsylvania"
DRH,Diamondrock Hospitality Company,DiamondRock Hospitality Company,share,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
DV,"DoubleVerify Holdings, Inc.","DoubleVerify Holdings, Inc.",share,Communication Services,Advertising,"New York City, New York"
DVAX,Dynavax Technologies Corporatio,Dynavax Technologies Corporation,share,Health Care,Biotechnology,"Emeryville, California"
DXC,DXC Technology Company,DXC Technology Company,share,Information Technology,IT Consulting & Other Services,"Ashburn, Virginia"
DXPE,"DXP Enterprises, Inc.","DXP Enterprises, Inc.",share,Industrials,Trading Companies & Distributors,"Houston, Texas"
DY,"Dycom Industries, Inc.","Dycom Industries, Inc.",share,Industrials,Construction & Engineering,"Palm Beach Gardens, Florida"
EAT,"Brinker International, Inc.","Brinker International, Inc.",share,Consumer Discretionary,Restaurants,"Dallas, Texas"
ECG,"Everus Construction Group, Inc.","Everus Construction Group, Inc.",share,Industrials,Construction & Engineering,"Bismarck, North Dakota"
ECPG,Encore Capital Group Inc,"Encore Capital Group, Inc.",share,Financials,Consumer Finance,"San Diego, California"
EFC,Ellington Financial Inc.,Ellington Financial Inc.,share,Financials,Specialized Finance,"Greenwich, Connecticut"
EGBN,"Eagle Bancorp, Inc.","Eagle Bancorp, Inc.",share,Financials,Regional Banks,"Bethesda, Maryland"
EIG,Employers Holdings Inc,"Employers Holdings, Inc.",share,Financials,Property & Casualty Insurance,"Henderson, Nevada"
ELME,Elme Communities,Elme Communities,share,Real Estate,Diversified REITs,"Bethesda, Maryland"
EMBC,Embecta Corp.,Embecta Corp.,share,Health Care,Health Care Equipment,"Wilmington, Delaware"
ENOV,Enovis Corporation,Enovis Corporation,share,Health Care,Health Care Equipment,"Wilmington, Delaware"
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc.",share,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
ENR,"Energizer Holdings, Inc.","Energizer Holdings, Inc.",share,Consumer Staples,Household Products,"St. Louis, Missouri"
ENVA,"Enova International, Inc.","Enova International, Inc.",share,Financials,Consumer Finance,"Chicago, Illinois"
EPAC,Enerpac Tool Group Corp.,Enerpac Tool Group Corp.,share,Industrials,Industrial Machinery & Supplies & Components,"Menomonee Falls, Wisconsin"
EPC,Edgewell Personal Care Company,Edgewell Personal Care Company,share,Consumer Staples,Household Products,"Shelton, Connecticut"
EPRT,Essential Properties Realty Tru,"Essential Properties Realty Trust, Inc.",share,Real Estate,Diversified REITs,"Princeton, New Jersey"
ESE,ESCO Technologies Inc.,ESCO Technologies Inc.,share,Industrials,Industrial Machinery & Supplies & Components,"St. Louis, Missouri"
ESI,Element Solutions Inc.,Element Solutions Inc,share,Materials,Specialty Chemicals,"Fort Lauderdale, Florida"
ETD,Ethan Allen Interiors Inc.,Ethan Allen Interiors Inc.,share,Consumer Discretionary,Home Furnishings,"Danbury, Connecticut"
ETSY,"Etsy, Inc.","Etsy, Inc.",share,Consumer Discretionary,Broadline Retail,"New York City, New York"
EVTC,"Evertec, Inc.","EVERTEC, Inc.",share,Financials,Transaction & Payment Processing Services,"San Juan, Puerto Rico"
EXPI,"eXp World Holdings, Inc.","eXp World Holdings, Inc.",share,Real Estate,Real Estate Services,"Bellingham, Washington"
EXTR,"Extreme Networks, Inc.","Extreme Networks, Inc.",share,Information Technology,Communications Equipment,"Morrisville, North Carolina"
EYE,"National Vision Holdings, Inc.","National Vision Holdings, Inc.",share,Consumer Discretionary,Specialty Stores,"Duluth, Georgia"
EZPW,"EZCORP, Inc.","EZCORP, Inc.",share,Financials,Consumer Finance,"Austin, Texas"
FBK,FB Financial Corporation,FB Financial Corporation,share,Financials,Regional Banks,"Nashville, Tennessee"
FBNC,First Bancorp,First Bancorp,share,Financials,Regional Banks,"Southern Pines, North Carolina"
FBP,First BanCorp. New,First BanCorp.,share,Financials,Regional Banks,"San Juan, Puerto Rico"
FBRT,"Franklin BSP Realty Trust, Inc.","Franklin BSP Realty Trust, Inc.",share,Real Estate,Mortgage REITs,"New York City, New York"
FCF,First,First Commonwealth Financial Corporation,share,Financials,Regional Banks,"Indiana, Pennsylvania"
FCPT,"Four Corners Property Trust, In","Four Corners Property Trust, Inc.",share,Real Estate,Other Specialized REITs,"Mill Valley, California"
FDP,"Fresh Del Monte Produce, Inc.",Fresh Del Monte Produce Inc.,share,Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida"
FELE,"Franklin Electric Co., Inc.","Franklin Electric Co., Inc.",share,Industrials,Industrial Machinery & Supplies & Components,"Fort Wayne, Indiana"
FFBC,First Financial Bancorp.,First Financial Bancorp.,share,Financials,Regional Banks,"Cincinnati, Ohio"
FHB,"First Hawaiian, Inc.","First Hawaiian, Inc.",share,Financials,Regional Banks,"Honolulu, Hawaii"
FIZZ,National Beverage Corp.,National Beverage Corp.,share,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Fort Lauderdale, Florida"
FMC,FMC Corporation,FMC Corporation,share,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
FORM,"FormFactor, Inc.","FormFactor, Inc.",share,Information Technology,Semiconductor Materials & Equipment,"Livermore, California"
FOXF,Fox Factory Holding Corp.,Fox Factory Holding Corp.,share,Consumer Discretionary,Automotive Parts & Equipment,"Duluth, Georgia"
FRPT,"Freshpet, Inc.","Freshpet, Inc.",share,Consumer Staples,Packaged Foods & Meats,"Bedminster, New Jersey"
FSS,Federal Signal Corporation,Federal Signal Corporation,share,Industrials,Construction Machinery & Heavy Transportation Equipment,"Oak Brook, Illinois"
FTDR,"frontdoor, inc.","Frontdoor, Inc.",share,Consumer Discretionary,Specialized Consumer Services,"Memphis, Tennessee"
FTRE,Fortrea Holdings Inc.,Fortrea Holdings Inc.,share,Health Care,Biotechnology,"Durham, North Carolina"
FUL,H. B. Fuller Company,H.B. Fuller Company,share,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota"
FULT,Fulton Financial Corporation,Fulton Financial Corporation,share,Financials,Regional Banks,"Lancaster, Pennsylvania"
